score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
7.099898720404467,0.94,0.02,0.04,0.49999999999999994,0.3,0.2,6.020382889994869,56.872695640183416,3.7642436616214705,13.866101752092808,2.9548925250518483,1.6852119923595557,2.2775363843839536,6.917640901795359
7.099366652769435,0.94,0.02,0.04,0.6,0.25,0.15,5.995208473853123,56.904793049560716,3.76570592323939,14.016176694705162,2.969271796192341,1.6785810744162586,2.2684617209901288,6.916314591598727
7.098160425901808,0.9199999999999999,0.06,0.02,0.49999999999999994,0.3,0.2,6.2007671388579,55.31186337426318,3.7185844131457952,13.586734882107487,2.8185292748858726,2.1653481682461875,1.934791775964835,6.918669219096897
7.096761462074114,0.94,0.02,0.04,0.65,0.2,0.15,5.973639848791523,56.95520404563781,3.7660740959791488,14.111687236362034,2.9809659456846234,1.667076262782301,2.265178594546005,6.91322080301293
7.096178204870409,0.9199999999999999,0.06,0.02,0.35000000000000003,0.35,0.3,6.225389122962952,55.42754786658014,3.7256262670328586,13.452331175038845,2.801408498229243,2.169613764571385,1.9461254981836011,6.9171477609842285
7.095631783019176,0.9199999999999999,0.06,0.02,0.6,0.25,0.15,6.173679341504603,55.374348343570055,3.720604900960569,13.741325928841109,2.832806321242269,2.1569132806490368,1.9255874044548476,6.915307006346153
7.095192992432362,0.94,0.02,0.04,0.35000000000000003,0.35,0.3,6.042555258597857,57.01312651533704,3.77173019927225,13.736521194010605,2.9366585531195857,1.68842444768301,2.2882754796815474,6.913358480484142
7.094470551603103,0.94,0.02,0.04,0.44999999999999996,0.3,0.25,6.024954180658599,56.8309110886114,3.762906516039813,13.810840078342109,2.9483781883367395,1.6827660612194089,2.2813849061740505,6.912529155730198
7.093276745725414,0.9199999999999999,0.06,0.02,0.44999999999999996,0.3,0.25,6.205586367183262,55.26677702035906,3.7171552232754084,13.530105225833847,2.812158354242873,2.162957457508371,1.938995751146739,6.914111562897983
7.092048650236946,0.9199999999999999,0.06,0.02,0.65,0.2,0.15,6.1499851471112095,55.45475891698926,3.7216275628702142,13.840026278554657,2.846400011359551,2.143564750110958,1.9212349304875578,6.911199691958067
